,YEAR,START_DATE,offensegroup,OFFENSE,offense-text,offensekey,START_TIME
5017,2022,2022-04-12,violent,robbery,robbery,violent|robbery,20:00:00
5034,2022,2022-03-16,property,theft f/auto,theft f/auto,property|theft f/auto,17:00:00
5035,2022,2022-03-01,property,theft f/auto,theft f/auto,property|theft f/auto,16:00:00
5036,2022,2022-03-17,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,10:45:00
5037,2022,2022-03-17,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,16:45:00
5038,2022,2022-03-22,property,theft f/auto,theft f/auto,property|theft f/auto,18:00:00
5039,2022,2022-03-22,property,theft/other,theft/other,property|theft/other,19:00:00
5040,2022,2022-04-05,property,theft/other,theft/other,property|theft/other,20:50:00
5041,2022,2022-04-12,property,theft f/auto,theft f/auto,property|theft f/auto,15:33:00
5042,2022,2022-04-12,violent,robbery,robbery,violent|robbery,22:25:00
5043,2022,2022-04-12,violent,robbery,robbery,violent|robbery,23:18:00
5044,2022,2022-04-13,violent,robbery,robbery,violent|robbery,00:38:00
5048,2022,2022-04-11,property,theft/other,theft/other,property|theft/other,11:36:00
5049,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:30:00
5050,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:10:00
5051,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,22:12:00
5052,2022,2022-04-12,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,17:00:00
5093,2022,2022-03-22,property,theft f/auto,theft f/auto,property|theft f/auto,17:43:00
5094,2022,2022-03-23,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,18:28:00
5095,2022,2022-03-29,property,theft/other,theft/other,property|theft/other,12:00:00
5096,2022,2022-03-28,property,theft f/auto,theft f/auto,property|theft f/auto,17:00:00
5097,2022,2022-04-20,property,theft/other,theft/other,property|theft/other,02:57:00
5098,2022,2022-04-19,property,theft/other,theft/other,property|theft/other,16:30:00
5099,2022,2022-04-19,property,theft f/auto,theft f/auto,property|theft f/auto,12:00:00
5103,2022,2022-04-19,property,theft f/auto,theft f/auto,property|theft f/auto,23:00:00
5104,2022,2022-04-18,property,theft f/auto,theft f/auto,property|theft f/auto,19:00:00
5105,2022,2022-04-27,property,theft/other,theft/other,property|theft/other,11:45:00
5134,2022,2022-04-02,property,theft f/auto,theft f/auto,property|theft f/auto,00:40:00
5135,2022,2022-04-05,property,theft f/auto,theft f/auto,property|theft f/auto,08:00:00
5136,2022,2022-04-05,property,theft/other,theft/other,property|theft/other,17:25:00
5137,2022,2022-04-05,property,theft/other,theft/other,property|theft/other,18:50:00
5138,2022,2022-04-04,property,theft f/auto,theft f/auto,property|theft f/auto,22:00:00
5139,2022,2022-04-05,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,18:44:00
5140,2022,2022-04-27,property,theft/other,theft/other,property|theft/other,10:30:00
5143,2022,2022-03-06,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,18:33:00
5148,2022,2022-02-26,property,theft f/auto,theft f/auto,property|theft f/auto,20:00:00
5149,2022,2022-02-24,property,theft/other,theft/other,property|theft/other,15:06:00
5150,2022,2022-02-27,property,theft f/auto,theft f/auto,property|theft f/auto,12:40:00
5151,2022,2022-02-28,property,theft f/auto,theft f/auto,property|theft f/auto,10:25:00
5152,2022,2022-02-26,property,theft f/auto,theft f/auto,property|theft f/auto,16:00:00
5153,2022,2022-03-06,property,theft/other,theft/other,property|theft/other,18:35:00
5154,2022,2022-03-06,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,21:17:00
5174,2022,2022-04-12,violent,homicide,homicide,violent|homicide,12:20:00
5175,2022,2022-04-12,violent,robbery,robbery,violent|robbery,13:43:00
5176,2022,2022-04-19,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,00:00:00
5181,2022,2022-04-11,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:00:00
5182,2022,2022-04-11,property,motor vehicle theft,motor vehicle theft,property|motor vehicle theft,20:30:00
5183,2022,2022-04-08,property,theft f/auto,theft f/auto,property|theft f/auto,00:00:00
5184,2022,2022-04-08,property,theft/other,theft/other,property|theft/other,19:00:00
5185,2022,2022-04-10,property,theft/other,theft/other,property|theft/other,08:00:00
5191,2022,2022-04-13,violent,assault w/dangerous weapon,assault w/dangerous weapon,violent|assault w/dangerous weapon,22:09:00
5196,2022,2022-04-14,property,theft/other,theft/other,property|theft/other,00:20:00
5197,2022,2022-04-19,property,theft/other,theft/other,property|theft/other,17:30:00
5198,2022,2022-04-20,property,theft/other,theft/other,property|theft/other,17:43:00
5199,2022,2022-04-18,property,theft f/auto,theft f/auto,property|theft f/auto,09:00:00
