Date_ID,date,hour,maxtemp_f,mintemp_f,avgtemp_f,totalprecip_in,avghumidity,day_condition,hour_temp_f,hour_condition,hour_precip_in,hour_humidity
0,2022-02-06,12:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,26.4,Clear,0.0,52
1,2022-02-06,1:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,26.1,Clear,0.0,52
2,2022-02-06,2:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,25.8,Clear,0.0,53
3,2022-02-06,3:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,25.5,Clear,0.0,53
4,2022-02-06,4:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,25.0,Clear,0.0,55
5,2022-02-06,5:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,24.6,Clear,0.0,56
6,2022-02-06,6:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,24.1,Clear,0.0,58
7,2022-02-06,7:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,24.6,Clear,0.0,58
8,2022-02-06,8:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,25.2,Sunny,0.0,59
9,2022-02-06,9:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,25.7,Sunny,0.0,59
10,2022-02-06,10:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,28.3,Sunny,0.0,54
11,2022-02-06,11:00AM,40.5,24.1,32.8,0.0,52.0,Sunny,31.0,Sunny,0.0,49
12,2022-02-06,12:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,33.6,Sunny,0.0,44
13,2022-02-06,1:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,35.7,Sunny,0.0,41
14,2022-02-06,2:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,37.8,Sunny,0.0,39
15,2022-02-06,3:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,39.9,Sunny,0.0,36
16,2022-02-06,4:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,40.1,Sunny,0.0,40
17,2022-02-06,5:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,40.3,Sunny,0.0,44
18,2022-02-06,6:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,40.5,Clear,0.0,48
19,2022-02-06,7:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,36.6,Clear,0.0,53
20,2022-02-06,8:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,32.8,Clear,0.0,58
21,2022-02-06,9:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,28.9,Clear,0.0,63
22,2022-02-06,10:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,28.6,Clear,0.0,65
23,2022-02-06,11:00PM,40.5,24.1,32.8,0.0,52.0,Sunny,28.2,Clear,0.0,67
24,2022-02-07,12:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,27.9,Clear,0.0,69
25,2022-02-07,1:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,27.8,Clear,0.0,71
26,2022-02-07,2:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,27.7,Clear,0.0,72
27,2022-02-07,3:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,27.7,Clear,0.0,74
28,2022-02-07,4:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,27.7,Clear,0.0,74
29,2022-02-07,5:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,27.7,Clear,0.0,75
30,2022-02-07,6:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,27.7,Clear,0.0,76
31,2022-02-07,7:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,28.2,Clear,0.0,75
32,2022-02-07,8:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,28.6,Cloudy,0.0,74
33,2022-02-07,9:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,29.1,Cloudy,0.0,73
34,2022-02-07,10:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,33.6,Cloudy,0.0,63
35,2022-02-07,11:00AM,46.9,27.7,38.0,0.0,61.0,Cloudy,38.0,Sunny,0.0,53
36,2022-02-07,12:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,42.4,Sunny,0.0,44
37,2022-02-07,1:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,43.9,Sunny,0.0,42
38,2022-02-07,2:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,45.4,Partly cloudy,0.0,40
39,2022-02-07,3:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,46.9,Partly cloudy,0.0,37
40,2022-02-07,4:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,45.9,Partly cloudy,0.0,42
41,2022-02-07,5:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,44.8,Sunny,0.0,47
42,2022-02-07,6:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,43.7,Clear,0.0,51
43,2022-02-07,7:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,41.2,Clear,0.0,56
44,2022-02-07,8:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,38.8,Partly cloudy,0.0,60
45,2022-02-07,9:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,36.3,Partly cloudy,0.0,64
46,2022-02-07,10:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,36.3,Partly cloudy,0.0,67
47,2022-02-07,11:00PM,46.9,27.7,38.0,0.0,61.0,Cloudy,36.2,Partly cloudy,0.0,70
48,2022-02-08,12:00AM,45.0,32.9,39.1,0.0,59.0,Cloudy,36.1,Partly cloudy,0.0,72
49,2022-02-08,1:00AM,45.0,32.9,39.1,0.0,59.0,Cloudy,35.4,Partly cloudy,0.0,73
50,2022-02-08,2:00AM,45.0,32.9,39.1,0.0,59.0,Cloudy,34.6,Partly cloudy,0.0,73
51,2022-02-08,3:00AM,45.0,32.9,39.1,0.0,59.0,Cloudy,33.8,Partly cloudy,0.0,73
